case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition
low_sloper_cp_sweep_feed3_end30_dedicated_angled_49ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_49ft_az90,49.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_49ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_49ft_az135,49.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_49ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_49ft_az180,49.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_53ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_53ft_az90,53.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_53ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_53ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,17.0,none
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none
elevated_tree_feed20_end3_dedicated_vertical_19.5ft_vertical_none,elevated_tree,20.0,3.0,dedicated_vertical,dedicated_vertical_19.5ft_vertical,19.5,,19.5,none
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_33ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_33ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_33ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az180,33.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_37ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_37ft_az90,37.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_37ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_37ft_az135,37.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_37ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_37ft_az180,37.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_41ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_41ft_az90,41.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_41ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_41ft_az135,41.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_41ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_41ft_az180,41.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_45ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_45ft_az90,45.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_45ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_45ft_az135,45.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_45ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_45ft_az180,45.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_49ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_49ft_az90,49.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_49ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_49ft_az135,49.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_49ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_49ft_az180,49.0,180.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_53ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_53ft_az90,53.0,90.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_53ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,19.5,none
elevated_tree_feed20_end3_dedicated_angled_53ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,19.5,none
elevated_tree_feed30_end3_coax_return_29.5ft_vertical_none,elevated_tree,30.0,3.0,coax_return,coax_return_29.5ft_vertical,29.5,,29.5,none
elevated_tree_feed30_end3_dedicated_vertical_29.5ft_vertical_none,elevated_tree,30.0,3.0,dedicated_vertical,dedicated_vertical_29.5ft_vertical,29.5,,29.5,none
elevated_tree_feed30_end3_dedicated_angled_33ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_33ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_33ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_33ft_az180,33.0,180.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_37ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_37ft_az90,37.0,90.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_37ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_37ft_az135,37.0,135.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_37ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_37ft_az180,37.0,180.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_41ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_41ft_az90,41.0,90.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_41ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_41ft_az135,41.0,135.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_41ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_41ft_az180,41.0,180.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_45ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_45ft_az90,45.0,90.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_45ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_45ft_az135,45.0,135.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_45ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_45ft_az180,45.0,180.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_49ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_49ft_az90,49.0,90.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_49ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_49ft_az135,49.0,135.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_49ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_49ft_az180,49.0,180.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_53ft_az90_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_53ft_az90,53.0,90.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_53ft_az135_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,29.5,none
elevated_tree_feed30_end3_dedicated_angled_53ft_az180_none,elevated_tree,30.0,3.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,29.5,none
elevated_tree_feed40_end3_coax_return_39.5ft_vertical_none,elevated_tree,40.0,3.0,coax_return,coax_return_39.5ft_vertical,39.5,,39.5,none
